Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Jon Singleton","HOU",122,364,414,84,57,13,1,13,46,42,47,0,112,0,3,0,2,0,0,0.23076923,"Jon Singleton",10441,572138
"Javier Báez","DET",230,767,808,177,120,34,3,20,90,100,24,1,194,9,7,0,20,14,3,0.23076923,"Javier Baez",12979,595879
"P.J. Higgins","CIN",14,26,32,6,5,1,0,0,1,4,2,0,8,0,1,3,1,0,0,0.23076923,"P.J. Higgins",18433,664731
"Livan Soto","- - -",13,13,16,3,2,1,0,0,1,0,3,0,3,0,0,0,0,0,0,0.23076923,"Livan Soto",22471,670869
"Kevin Alcántara","CHC",31,39,41,9,9,0,0,0,6,4,2,0,12,0,0,0,1,1,1,0.23076923,"Kevin Alcantara",25971,682634
"Agustín Ramírez","MIA",167,650,714,150,87,38,2,23,86,81,49,3,141,10,5,0,18,19,4,0.23076923,"Agustin Ramirez",26546,682663
"Jordan Lawlar","ARI",40,104,118,24,14,9,0,1,15,9,9,0,36,4,1,0,0,6,0,0.23076923,"Jordan Lawlar",29976,691783
"Munetaka Murakami","CHW",63,221,272,51,25,6,0,20,46,42,49,4,91,1,1,0,2,1,3,0.23076923,"Munetaka Murakami",37120,808959
"Colson Montgomery","CHW",165,607,678,140,68,26,1,45,91,112,58,4,210,11,1,0,7,1,1,0.230642504,"Colson Montgomery",29712,695657
"Anthony Volpe","NYY",360,1319,1449,304,195,65,12,32,173,146,106,1,343,8,10,5,19,53,19,0.230477634,"Anthony Volpe",27647,683011
"Jake Bauers","MIL",293,790,922,182,109,33,3,37,129,130,120,5,273,10,2,0,4,27,3,0.230379746,"Jake Bauers",15194,641343
"Royce Lewis","MIN",253,903,992,208,123,46,0,39,106,129,77,2,224,2,10,0,14,18,2,0.2303433,"Royce Lewis",20437,668904
"Endy Rodríguez","PIT",53,152,179,35,20,10,0,5,20,18,26,0,43,0,0,0,3,2,1,0.230263157,"Endy Rodriguez",25332,682848
"Jared Young","NYM",76,187,210,43,25,8,0,10,22,24,15,0,50,6,2,0,4,0,0,0.229946524,"Jared Young",20404,676724
"Alek Thomas","ARI",210,622,672,143,92,33,4,14,76,65,31,0,162,7,4,8,12,15,5,0.229903536,"Alek Thomas",23792,677950
"Luke Raley","SEA",295,831,941,191,111,36,3,41,107,114,59,1,284,40,4,7,5,14,5,0.229843561,"Luke Raley",19354,670042
"Bryan De La Cruz","- - -",165,631,672,145,98,26,0,21,62,68,32,1,188,3,5,0,11,6,2,0.229793977,"Bryan De La Cruz",19600,650559
"Anthony Seigler","- - -",59,148,171,34,24,8,0,2,19,12,17,0,34,2,2,2,3,4,0,0.229729729,"Anthony Seigler",23802,678011
"Angel Martínez","CLE",248,823,896,189,120,41,3,25,100,89,45,0,196,11,7,10,15,20,5,0.22964763,"Angel Martinez",26540,682657
"Jonatan Clase","- - -",69,183,203,42,32,5,0,5,21,20,16,0,53,3,0,1,2,6,2,0.229508196,"Jonatan Clase",26599,682729
"Carlos Narváez","- - -",179,576,641,132,81,33,0,18,68,59,52,0,174,4,4,5,18,2,1,0.229166666,"Carlos Narvaez",19722,665966
"Wilmer Flores","SFG",196,633,705,145,103,22,0,20,63,97,54,1,121,10,8,0,19,1,0,0.22906793,"Wilmer Flores",5827,527038
"Cody Freeman","TEX",43,131,139,30,23,4,0,3,14,15,6,0,24,0,1,1,3,1,1,0.229007633,"Cody Freeman",25629,683227
"Jahmai Jones","- - -",165,271,308,62,35,14,2,11,38,36,31,1,84,5,0,1,6,3,3,0.228782287,"Jahmai Jones",18872,663330
"Brett Wisely","- - -",117,306,335,70,47,17,1,5,30,41,20,0,79,2,3,4,3,3,4,0.228758169,"Brett Wisely",27735,689172
"Dalton Rushing","LAD",117,328,369,75,46,15,0,14,46,54,33,0,115,5,3,0,3,0,0,0.228658536,"Dalton Rushing",31382,687221
"Luis Campusano","SDP",129,372,413,85,53,20,0,12,51,52,38,0,72,2,1,0,13,0,0,0.228494623,"Luis Campusano",22217,669134
"Anthony Rizzo","NYY",92,337,375,77,57,12,0,8,38,35,27,0,65,9,2,0,7,0,0,0.228486646,"Anthony Rizzo",3473,519203
"Marcus Semien","- - -",368,1419,1579,324,222,51,4,47,193,165,137,2,271,9,13,1,27,25,6,0.228329809,"Marcus Semien",12533,543760
"Kyle Higashioka","- - -",235,714,775,163,98,28,2,35,82,110,53,0,193,4,3,1,13,5,1,0.228291316,"Kyle Higashioka",5517,543309
"Ryan Vilade","- - -",80,206,231,47,31,7,1,8,23,36,18,0,50,1,4,2,6,3,0,0.228155339,"Ryan Vilade",22165,668723
"DJ LeMahieu","NYY",112,329,370,75,63,8,0,4,32,38,33,0,70,1,6,1,17,0,1,0.227963525,"DJ LeMahieu",9874,518934
"Yasmani Grandal","PIT",72,215,243,49,30,10,0,9,26,27,24,0,46,0,1,3,7,1,0,0.227906976,"Yasmani Grandal",11368,518735
"David Fry","CLE",252,610,700,139,84,26,1,28,76,87,73,5,189,11,4,0,20,5,1,0.227868852,"David Fry",24934,681807
"Michael Siani","- - -",144,316,354,72,61,7,2,2,46,20,23,0,99,3,1,11,2,20,3,0.227848101,"Michael Siani",22557,672279
"Pedro Pagés","STL",237,711,769,162,114,24,2,22,70,83,38,1,208,5,7,8,21,4,0,0.227848101,"Pedro Pages",25782,686780
"Thairo Estrada","- - -",135,518,546,118,80,24,2,12,57,68,16,0,102,7,5,0,14,3,5,0.227799227,"Thairo Estrada",16426,642731
"Chadwick Tromp","- - -",40,101,106,23,14,8,0,1,7,11,2,0,30,0,2,1,3,0,0,0.227722772,"Chadwick Tromp",16953,644433
"Sam Hilliard","COL",78,189,219,43,21,8,2,12,34,30,24,1,79,0,2,4,4,7,3,0.227513227,"Sam Hilliard",17954,656541
"Leody Taveras","- - -",294,910,1006,207,146,33,9,19,108,98,76,0,236,1,6,13,13,42,12,0.227472527,"Leody Taveras",18900,665750
"Jo Adell","LAA",381,1315,1435,299,177,48,4,70,159,213,80,1,369,30,6,0,31,23,11,0.227376425,"Jo Adell",20220,666176
"Paul DeJong","- - -",196,638,690,145,88,27,0,30,72,79,34,0,226,10,8,0,12,6,2,0.227272727,"Paul DeJong",18015,657557
"Logan O'Hoppe","LAA",325,1119,1212,254,176,33,2,43,119,122,74,0,353,13,3,3,25,4,4,0.226988382,"Logan O'Hoppe",24729,681351
"Nick Gordon","MIA",95,260,275,59,39,11,1,8,29,32,11,0,67,1,3,0,5,5,5,0.226923076,"Nick Gordon",16337,624503
"Daulton Varsho","TOR",293,996,1102,226,119,51,11,45,152,137,91,4,277,7,7,1,4,21,2,0.22690763,"Daulton Varsho",19918,662139
"Ryan McMahon","- - -",387,1289,1463,292,182,60,1,49,153,144,157,5,446,7,7,1,22,10,9,0.226532195,"Ryan McMahon",15112,641857
"Lane Thomas","- - -",254,839,952,190,115,44,3,28,104,108,94,1,243,10,9,0,13,41,18,0.226460071,"Lane Thomas",16939,657041
"Jared Walsh","TEX",17,53,60,12,9,2,0,1,9,7,7,0,21,0,0,0,2,0,0,0.226415094,"Jared Walsh",18607,665120
"Kevin Pillar","- - -",120,327,357,74,47,18,1,8,44,46,16,0,77,10,3,1,10,15,3,0.226299694,"Kevin Pillar",12434,607680
"Jackson Holliday","BAL",257,902,1008,204,143,28,6,27,116,93,94,1,249,8,4,0,7,25,11,0.226164079,"Jackson Holliday",31781,702616
"Carlos Santana","- - -",282,960,1094,217,145,38,0,34,113,125,119,4,198,9,6,0,18,11,0,0.226041666,"Carlos Santana",2396,467793
"Esteury Ruiz","- - -",108,177,211,40,20,10,2,8,37,20,21,0,63,7,3,2,1,29,7,0.2259887,"Esteury Ruiz",21780,665923
"Kyle Manzardo","CLE",285,894,1006,202,119,38,3,42,90,115,90,2,277,14,8,0,14,2,0,0.225950782,"Kyle Manzardo",29794,700932
"Joey Meneses","- - -",85,301,338,68,54,11,0,3,20,44,24,1,67,6,7,0,12,2,0,0.225913621,"Joey Meneses",14366,608841
"Luis Torrens","NYM",202,545,596,123,79,33,1,10,56,63,39,0,122,8,1,3,13,1,1,0.225688073,"Luis Torrens",15905,620443
"Yoán Moncada","- - -",137,399,464,90,54,17,4,15,52,45,54,1,131,9,2,0,8,2,0,0.225563909,"Yoan Moncada",17232,660162
"Vidal Bruján","- - -",172,346,386,78,55,19,2,2,50,25,32,3,76,5,1,2,6,7,8,0.225433526,"Vidal Brujan",20536,660644
"Spencer Torkelson","DET",345,1239,1413,279,152,66,2,59,167,162,146,6,399,18,8,0,27,2,2,0.225181598,"Spencer Torkelson",27465,679529
"Jared Triolo","PIT",297,924,1045,208,149,39,3,17,104,86,99,1,244,10,6,4,15,27,4,0.225108225,"Jared Triolo",25807,669707
"Kody Clemens","- - -",249,773,848,174,85,39,8,42,110,118,56,2,201,11,4,4,12,11,3,0.225097024,"Kody Clemens",20572,665019
"Jorge Soler","- - -",301,1053,1211,237,132,59,2,44,148,141,128,0,338,15,11,0,22,1,0,0.225071225,"Jorge Soler",14221,624585
"Blake Perkins","MIL",228,627,706,141,102,25,4,10,93,73,67,1,177,5,6,1,8,33,8,0.224880382,"Blake Perkins",19921,663368
"Trent Grisham","NYY",298,943,1106,212,124,31,3,54,158,146,147,1,246,8,6,1,16,11,4,0.224814422,"Trent Grisham",18564,663757
"Dustin Harris","- - -",38,89,102,20,12,5,1,2,12,10,10,0,22,1,1,1,1,5,1,0.224719101,"Dustin Harris",25705,687957
"Miles Mastrobuoni","- - -",139,276,311,62,54,7,0,1,32,17,26,0,56,0,3,6,3,8,3,0.224637681,"Miles Mastrobuoni",20017,670156
"Yanquiel Fernández","COL",52,138,147,31,22,5,0,4,13,11,8,0,44,0,1,0,4,0,0,0.224637681,"Yanquiel Fernandez",28552,692585
"Josh Lowe","- - -",276,926,1013,208,131,44,4,29,110,96,75,5,284,4,5,3,9,46,5,0.22462203,"Josh Lowe",19953,666139
"Drew Millas","WSN",88,236,269,53,39,10,1,3,31,19,23,0,60,3,1,3,2,6,1,0.224576271,"Drew Millas",25643,686452
"Cam Smith","HOU",233,775,867,174,115,34,4,21,94,85,74,0,227,11,6,0,20,17,2,0.224516129,"Cam Smith",35108,701358
"Luis Urías","- - -",151,410,471,92,63,15,0,14,41,44,43,0,83,12,3,0,11,2,1,0.224390243,"Luis Urias",16622,649966
"Zack Gelof","OAK",235,816,895,183,116,34,3,30,113,85,59,0,296,8,6,6,12,34,6,0.224264705,"Zack Gelof",29766,680869
"Seth Brown","OAK",162,437,476,98,69,13,1,15,38,47,34,0,135,4,1,0,9,5,2,0.224256292,"Seth Brown",18171,664913
"Tomás Nido","- - -",60,165,177,37,29,4,0,4,18,14,5,0,45,1,2,4,2,0,0,0.224242424,"Tomas Nido",13755,621512
"Edward Olivares","PIT",55,174,196,39,30,4,0,5,22,23,16,0,37,2,4,0,3,1,0,0.224137931,"Edward Olivares",19698,658668
"Enrique Hernández","LAD",221,598,653,134,85,26,0,23,76,79,45,0,145,0,8,2,20,0,0,0.224080267,"Enrique Hernandez",10472,571771
"Alexander Canario","- - -",102,241,262,54,39,7,1,7,29,22,19,0,91,1,1,0,5,4,1,0.22406639,"Alexander Canario",22842,672744
"Jorge Mateo","- - -",174,398,426,89,53,24,2,10,67,32,22,0,119,1,3,2,6,37,5,0.22361809,"Jorge Mateo",17273,622761
"Gary Sánchez","- - -",174,479,562,107,67,14,2,24,69,86,66,0,134,12,5,0,17,0,0,0.223382045,"Gary Sanchez",11442,596142
"Robert Hassell III","WSN",70,197,206,44,32,9,0,3,22,18,8,0,62,1,0,0,4,4,0,0.223350253,"Robert Hassell III",27482,690987
"Luis Robert Jr.","- - -",234,860,954,192,128,34,0,30,109,96,81,5,270,4,4,1,18,58,16,0.223255813,"Luis Robert Jr.",20043,673357
"Addison Barger","TOR",213,690,755,154,81,44,1,28,83,104,55,4,188,4,4,0,10,6,1,0.223188405,"Addison Barger",24598,680718
"Tommy Troy","ARI",39,121,134,27,19,3,1,4,22,9,13,0,31,0,0,0,0,1,0,0.223140495,"Tommy Troy",33279,694371
"Michael Helman","- - -",62,139,155,31,16,8,1,6,22,22,8,0,30,3,1,4,0,4,0,0.223021582,"Michael Helman",24605,680737
"Marcelo Mayer","BOS",114,332,364,74,48,18,1,7,39,32,24,0,85,3,4,0,7,3,2,0.222891566,"Marcelo Mayer",29668,691785
"Kyle Farmer","- - -",216,507,558,113,71,28,1,13,52,59,36,1,119,10,5,0,15,3,6,0.222879684,"Kyle Farmer",14813,571657
"LaMonte Wade Jr.","- - -",210,579,689,129,89,26,2,12,70,60,96,6,160,7,4,3,4,3,1,0.222797927,"LaMonte Wade Jr.",18126,664774
"Jerar Encarnacion","SFG",71,202,210,45,29,9,0,7,19,26,7,0,57,0,1,0,4,2,0,0.222772277,"Jerar Encarnacion",21871,666464
"Kristian Campbell","BOS",67,229,263,51,35,10,0,6,24,21,29,0,72,4,1,0,1,2,1,0.222707423,"Kristian Campbell",33644,692225
"Joey Wendle","NYM",18,36,37,8,7,1,0,0,3,1,1,0,9,0,0,0,0,1,0,0.222222222,"Joey Wendle",13853,621563
"Gabriel Arias","CLE",216,684,737,152,94,36,3,19,70,79,39,2,260,8,5,1,12,16,6,0.222222222,"Gabriel Arias",22563,672356
"Aaron Schunk","COL",55,126,131,28,22,4,0,2,15,7,4,1,41,0,0,1,1,0,1,0.222222222,"Aaron Schunk",25524,668845
"Ke'Bryan Hayes","- - -",296,1022,1105,227,185,27,4,11,99,79,67,2,208,10,5,1,30,24,5,0.222113502,"Ke'Bryan Hayes",18577,663647
"Tyler O'Neill","- - -",227,748,859,166,89,30,1,46,117,100,94,6,261,12,5,0,17,9,0,0.221925133,"Tyler O'Neill",15711,641933
"Triston Casas","BOS",92,311,355,69,42,11,0,16,33,43,41,6,104,3,0,0,9,0,1,0.221864951,"Triston Casas",22514,671213
"Whit Merrifield","- - -",95,293,335,65,49,9,3,4,44,15,35,0,52,3,0,4,7,17,3,0.221843003,"Whit Merrifield",11281,593160
"Jac Caglianone","KCR",155,541,593,120,71,23,3,23,65,55,43,0,155,8,1,0,8,4,1,0.22181146,"Jac Caglianone",35041,695506
"Michael Conforto","- - -",332,1001,1139,222,122,57,3,40,130,124,117,2,288,14,7,0,31,2,1,0.221778221,"Michael Conforto",16376,624424
"Sam Haggerty","- - -",108,221,245,49,36,8,3,2,35,15,19,1,57,3,0,1,2,15,4,0.221719457,"Sam Haggerty",18054,664059
"Darell Hernaiz","OAK",146,411,466,91,75,11,1,4,37,35,41,0,74,2,7,5,7,7,5,0.221411192,"Darell Hernaiz",26224,687231
"Jarred Kelenic","- - -",181,533,583,118,76,22,2,18,61,51,45,1,181,1,3,1,6,7,4,0.221388367,"Jarred Kelenic",22558,672284
"Alex Freeland","LAD",99,276,317,61,46,9,1,5,34,25,33,0,101,2,2,4,8,3,0,0.221014492,"Alex Freeland",31665,690976
"Jacob Stallings","- - -",125,362,410,80,49,21,1,9,36,45,33,1,105,12,1,2,15,0,0,0.220994475,"Jacob Stallings",13723,607732
"Cal Raleigh","SEA",380,1394,1625,308,158,47,0,103,206,254,203,21,457,16,12,0,18,22,6,0.220946915,"Cal Raleigh",21534,663728
"Sebastián Rivero","LAA",35,86,91,19,15,4,0,0,9,10,4,0,21,0,0,1,1,1,0,0.220930232,"Sebastian Rivero",21735,665861
"Jorbit Vivas","- - -",102,240,280,53,39,10,0,4,27,22,25,0,40,7,3,2,3,0,1,0.220833333,"Jorbit Vivas",23917,678391
"Colton Cowser","BAL",332,1037,1163,229,137,41,3,48,141,136,106,3,372,14,5,1,16,28,6,0.220829315,"Colton Cowser",29591,681297
"Miguel Vargas","- - -",307,1065,1228,235,130,60,3,42,168,135,137,2,227,15,10,0,19,20,3,0.220657276,"Miguel Vargas",20178,678246
"Anthony Santander","- - -",209,789,886,174,92,30,2,50,107,120,83,4,190,8,6,0,15,2,0,0.220532319,"Anthony Santander",14551,623993
"Oscar Gonzalez","SDP",21,59,61,13,12,1,0,0,2,4,2,0,13,0,0,0,1,0,1,0.220338983,"Oscar Gonzalez",20970,660757
"Adolis García","- - -",356,1318,1443,290,175,63,1,51,147,181,94,3,396,15,16,0,23,27,9,0.220030349,"Adolis Garcia",19287,666969
"Samuel Basallo","BAL",117,391,429,86,50,15,1,20,44,61,32,2,112,4,2,0,9,0,0,0.219948849,"Samuel Basallo",28824,694212
"Patrick Bailey","- - -",323,996,1102,219,158,39,5,17,109,116,82,0,286,3,14,7,23,7,0,0.219879518,"Patrick Bailey",27478,672275
"Travis d'Arnaud","- - -",182,555,612,122,70,30,0,22,61,72,40,0,170,12,5,0,14,1,0,0.219819819,"Travis d'Arnaud",7739,518595
"Max Muncy","ATH",109,360,395,79,49,14,2,14,41,43,24,0,126,7,4,0,5,4,3,0.219444444,"Max Muncy",29779,691777
"Nick Ahmed","- - -",76,219,238,48,39,6,1,2,21,17,12,0,54,1,3,3,7,3,1,0.219178082,"Nick Ahmed",12147,605113
"Jonah Heim","- - -",308,1027,1113,225,156,35,1,33,103,132,71,0,215,6,8,1,26,4,1,0.219084712,"Jonah Heim",16930,641680
"Eric Haase","- - -",89,210,230,46,28,7,0,11,29,32,13,0,87,3,0,4,2,0,0,0.219047619,"Eric Haase",14111,606992
"Hunter Renfroe","KCR",155,484,532,106,67,24,0,15,49,56,44,0,105,2,2,0,14,1,1,0.219008264,"Hunter Renfroe",15464,592669
"Tristan Gray","- - -",108,274,299,60,42,11,0,7,25,38,18,0,92,1,4,2,2,2,0,0.218978102,"Tristan Gray",19877,656484
"Michael Stefanic","- - -",51,137,154,30,26,4,0,0,10,8,13,0,24,3,0,1,5,0,0,0.218978102,"Michael Stefanic",25353,683021
"Cedric Mullins","- - -",365,1165,1324,255,161,43,5,46,159,143,119,0,286,14,10,9,6,69,16,0.21888412,"Cedric Mullins",17929,656775
"Anthony Rendon","LAA",57,206,238,45,35,10,0,0,21,14,23,0,35,5,4,0,4,6,1,0.218446601,"Anthony Rendon",12861,543685
"Ryan Ward","LAD",20,55,60,12,5,4,0,3,8,12,5,0,17,0,0,0,2,0,0,0.218181818,"Ryan Ward",27449,669899
"Drew Gilbert","SFG",116,298,334,65,40,15,3,7,34,33,26,2,57,6,2,2,7,1,4,0.218120805,"Drew Gilbert",31545,687551
"George Valera","CLE",29,78,86,17,10,5,0,2,8,11,8,0,21,0,0,0,2,0,0,0.217948717,"George Valera",22541,671655
"Connor Joe","- - -",186,473,541,103,64,28,1,10,53,43,57,1,126,7,4,0,10,6,4,0.217758985,"Connor Joe",16572,656582
"Nick Martini","- - -",95,248,274,54,38,8,2,6,32,28,18,1,56,4,3,0,2,1,3,0.217741935,"Nick Martini",12005,605361
"Nolan Jones","- - -",215,611,700,133,95,27,3,8,62,62,75,3,204,6,6,2,13,13,7,0.217675941,"Nolan Jones",20529,666134
"Jonathan Ornelas","- - -",24,46,50,10,8,2,0,0,2,3,3,0,16,0,0,1,0,0,0,0.217391304,"Jonathan Ornelas",24597,680716
"Nathan Church","STL",107,304,330,66,46,10,1,9,39,36,16,0,74,5,3,2,4,6,3,0.217105263,"Nathan Church",31357,701675
"Orlando Arcia","- - -",252,802,866,174,120,32,1,21,69,61,53,1,183,2,8,1,23,2,2,0.216957605,"Orlando Arcia",13185,606115
"Luis Matos","- - -",111,342,361,74,46,14,1,13,41,47,17,1,58,0,2,0,11,4,0,0.216374269,"Luis Matos",26467,682641
"Brett Sullivan","- - -",60,148,163,32,18,8,1,5,15,19,9,0,32,2,3,1,3,0,1,0.216216216,"Brett Sullivan",18217,664954
"Corey Julks","CHW",72,185,202,40,28,9,0,3,19,15,15,0,53,0,2,0,6,5,2,0.216216216,"Corey Julks",20311,667452
"Otto Kemp","PHI",75,222,245,48,29,11,0,8,26,28,13,0,77,8,2,0,4,2,2,0.216216216,"Otto Kemp",31792,805249
"Colby Thomas","ATH",98,222,239,48,30,8,0,10,31,30,11,0,81,1,3,2,5,3,2,0.216216216,"Colby Thomas",31855,687515
"Nick Allen","- - -",225,560,624,121,101,18,0,2,52,36,42,0,142,4,5,13,10,10,7,0.216071428,"Nick Allen",22277,669397
"Heston Kjerstad","BAL",93,255,281,55,38,7,2,8,24,33,16,2,78,9,1,0,9,2,0,0.215686274,"Heston Kjerstad",31166,677008
"Ronny Mauricio","NYM",78,218,234,47,33,7,0,7,23,12,15,1,72,1,0,0,6,4,0,0.21559633,"Ronny Mauricio",23698,677595
"Nacho Alvarez Jr.","ATL",66,218,240,47,33,12,0,2,19,15,12,0,59,7,1,2,2,0,0,0.21559633,"Nacho Alvarez Jr.",31765,805373
"Austin Slater","- - -",177,390,446,84,63,13,1,7,52,34,45,0,132,5,5,1,12,8,2,0.215384615,"Austin Slater",16153,596103
"Ha-Seong Kim","- - -",196,647,743,139,100,20,3,16,83,67,83,4,138,4,5,4,11,29,7,0.214837712,"Ha-Seong Kim",27506,673490
"Matt Wallner","MIN",213,676,788,145,66,36,4,39,87,87,80,0,262,29,3,0,7,7,4,0.214497041,"Matt Wallner",26466,670242
"René Pinto","TBR",19,42,49,9,4,3,0,2,5,6,4,0,18,1,1,1,0,0,0,0.214285714,"Rene Pinto",19859,650907
"Ryan McKenna","- - -",13,14,15,3,1,0,0,2,4,2,1,0,5,0,0,0,0,1,1,0.214285714,"Ryan McKenna",19928,663630
"César Salazar","HOU",32,56,70,12,10,2,0,0,5,10,7,0,11,4,2,1,1,0,0,0.214285714,"Cesar Salazar",21587,663967
"Austin Shenton","TBR",19,42,50,9,3,5,0,1,3,3,8,0,14,0,0,0,1,0,0,0.214285714,"Austin Shenton",25425,668853
"Nick Yorke","PIT",60,182,200,39,29,6,0,4,17,19,14,0,44,2,2,0,4,3,0,0.214285714,"Nick Yorke",27504,694377
"Tanner Murray","CHW",13,28,33,6,5,0,0,1,2,3,2,1,7,1,1,1,0,0,0,0.214285714,"Tanner Murray",28848,695020
"Denzel Clarke","ATH",69,201,219,43,29,9,2,3,22,14,10,0,85,3,0,5,2,8,0,0.213930348,"Denzel Clarke",29858,672016
"Max Schuemann","- - -",268,636,743,136,100,23,2,11,92,53,80,0,171,14,5,8,14,24,4,0.213836477,"Max Schuemann",24488,680474
"CJ Kayfus","CLE",53,145,163,31,14,11,1,5,20,21,13,0,46,3,1,1,0,4,0,0.213793103,"CJ Kayfus",33704,692216
"Korey Lee","CHW",151,412,434,88,57,17,1,13,46,40,21,0,129,0,0,1,13,6,3,0.213592233,"Korey Lee",25543,686676
"Nick Loftin","KCR",186,503,576,107,67,28,3,9,59,63,54,0,80,9,7,3,17,3,1,0.212723658,"Nick Loftin",27630,679845
"Reese McGuire","- - -",109,301,332,64,47,5,0,12,28,45,19,0,75,4,5,3,7,3,0,0.212624584,"Reese McGuire",15674,624512
"Enmanuel Valdez","- - -",107,292,325,62,36,16,2,8,30,40,28,0,69,0,4,1,6,1,1,0.212328767,"Enmanuel Valdez",21716,665839
"Josh Rojas","- - -",229,650,727,138,95,30,2,11,66,47,66,1,165,3,4,2,12,14,5,0.212307692,"Josh Rojas",19734,668942
"Tyler Wade","SDP",150,245,283,52,46,4,2,0,41,17,26,0,60,3,0,8,0,9,3,0.212244897,"Tyler Wade",15730,642180
"Rhys Hoskins","- - -",299,948,1114,201,114,39,1,47,117,156,133,3,326,15,16,0,20,6,1,0.212025316,"Rhys Hoskins",16472,656555
"J.D. Davis","- - -",51,151,166,32,23,5,0,4,13,6,12,0,42,3,0,0,5,0,0,0.211920529,"J.D. Davis",16219,605204
"Robbie Grossman","- - -",87,208,245,44,33,8,0,3,21,16,34,0,58,1,2,0,8,3,0,0.211538461,"Robbie Grossman",5254,543257
"David Hensley","MIA",23,52,58,11,9,1,0,1,9,4,6,0,17,0,0,0,0,1,0,0.211538461,"David Hensley",25111,682073
"Stuart Fairchild","- - -",136,279,315,59,38,12,1,8,43,33,28,0,89,5,1,2,3,17,2,0.211469534,"Stuart Fairchild",20321,656413
"Edouard Julien","- - -",239,667,764,141,99,27,1,14,83,53,90,0,228,5,1,1,11,11,6,0.211394302,"Edouard Julien",27534,666397
"Tim Anderson","- - -",96,317,331,67,61,6,0,0,24,12,10,0,97,3,0,1,7,5,5,0.211356466,"Tim Anderson",15172,641313
"Christian Vázquez","- - -",219,659,723,139,101,23,0,15,61,63,43,1,133,5,7,9,16,5,2,0.210925644,"Christian Vazquez",9774,543877
"Matt Thaiss","- - -",117,313,376,66,47,15,1,3,30,32,57,0,104,3,2,1,4,4,1,0.210862619,"Matt Thaiss",19318,642136
"Dylan Crews","WSN",166,598,658,126,84,19,3,20,84,55,47,0,147,12,1,0,11,35,8,0.210702341,"Dylan Crews",33541,686611
"Chas McCormick","HOU",160,342,383,72,54,11,1,6,45,32,26,0,103,5,4,6,4,10,5,0.210526315,"Chas McCormick",19599,676801
"Marco Luciano","SFG",27,76,81,16,10,5,1,0,10,3,5,0,28,0,0,0,1,0,1,0.210526315,"Marco Luciano",25616,682617
"Joshua Palacios","- - -",74,195,223,41,30,6,0,5,21,18,22,0,48,5,0,1,1,1,0,0.21025641,"Joshua Palacios",19818,641943
"Taylor Trammell","- - -",107,238,268,50,31,12,1,6,31,23,27,0,86,1,1,1,0,4,2,0.210084033,"Taylor Trammell",19960,666211
"Daniel Schneemann","CLE",284,814,908,171,106,39,3,23,92,91,86,1,265,3,4,1,10,17,7,0.21007371,"Daniel Schneemann",25180,682177
"Justin Foscue","TEX",68,162,177,34,18,9,0,7,18,22,12,0,51,2,1,0,3,0,0,0.209876543,"Justin Foscue",27501,679822
"Matt McLain","CIN",230,778,886,163,109,31,0,23,105,75,91,0,250,8,4,5,11,29,4,0.209511568,"Matt McLain",29695,680574
"Evan Carter","TEX",189,568,656,119,73,22,6,18,87,64,68,1,150,13,2,5,4,27,3,0.209507042,"Evan Carter",27790,694497
"Trey Cabbage","HOU",45,86,91,18,9,8,0,1,12,8,4,0,34,1,0,0,1,1,1,0.209302325,"Trey Cabbage",21078,663550
"Victor Mesa Jr.","- - -",52,129,150,27,15,4,0,8,22,20,18,0,30,0,1,2,1,3,2,0.209302325,"Victor Mesa Jr.",25999,683748
"Justyn-Henry Malloy","DET",123,306,357,64,41,13,1,9,33,38,43,0,117,4,4,0,3,1,1,0.209150326,"Justyn-Henry Malloy",29606,669234
"Zach DeLoach","CHW",22,67,75,14,8,5,0,1,10,5,8,0,21,0,0,0,0,0,1,0.208955223,"Zach DeLoach",27471,676113
"Austin Wells","NYY",309,953,1088,199,115,42,2,40,112,139,103,2,267,10,19,2,25,7,3,0.20881427,"Austin Wells",27562,669224
"Christian Bethancourt","- - -",62,139,147,29,17,7,0,5,18,22,5,0,36,1,0,2,2,3,0,0.208633093,"Christian Bethancourt",10028,542194
"Travis Jankowski","- - -",130,235,257,49,41,7,0,1,27,14,15,0,56,5,1,1,3,13,1,0.208510638,"Travis Jankowski",13768,608671
"Taylor Walls","TBR",264,734,846,153,111,31,6,5,99,73,89,0,205,2,12,9,7,45,13,0.208446866,"Taylor Walls",22458,670764
"Mitch Haniger","SEA",121,380,423,79,55,12,0,12,42,44,40,0,126,2,1,0,10,0,0,0.207894736,"Mitch Haniger",14274,571745
"Dominic Fletcher","CHW",84,255,275,53,38,13,0,2,19,19,13,1,60,3,1,2,6,1,0,0.207843137,"Dominic Fletcher",26149,666150
"Nelson Velázquez","- - -",89,265,298,55,31,11,1,12,41,39,25,0,80,4,4,0,6,2,0,0.207547169,"Nelson Velazquez",23359,676369
"Ryan Bliss","SEA",47,106,120,22,14,4,1,3,11,13,10,0,36,1,1,2,3,7,5,0.207547169,"Ryan Bliss",29547,669208
"Leo Jiménez","- - -",125,323,375,67,45,15,0,7,34,29,25,0,93,22,4,1,11,1,0,0.20743034,"Leo Jimenez",23782,677870
